Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
1,37,179.0,77.0,7.0,81.0,39.5
1,23,195.0,87.0,26.0,110.0,40.5
1,33,181.0,77.0,12.0,88.0,40.1
0,66,156.0,54.0,9.0,77.0,39.5
0,32,144.0,49.0,5.0,90.0,39.0
0,24,175.0,66.0,17.0,93.0,40.5
0,59,164.0,63.0,20.0,109.0,40.5
0,21,170.0,67.0,17.0,95.0,40.0
0,23,189.0,79.0,5.0,94.0,38.9
0,26,159.0,53.0,19.0,92.0,40.5
0,60,183.0,82.0,10.0,92.0,39.2
0,56,160.0,63.0,4.0,84.0,38.7
1,50,202.0,102.0,2.0,81.0,38.3
0,49,173.0,67.0,10.0,85.0,39.5
1,63,177.0,80.0,3.0,89.0,38.7
1,24,166.0,71.0,2.0,78.0,38.2
0,41,173.0,69.0,10.0,91.0,39.7
0,66,158.0,53.0,19.0,103.0,40.6
0,24,169.0,68.0,21.0,103.0,40.3
0,31,164.0,57.0,22.0,109.0,40.7
1,30,180.0,84.0,16.0,98.0,40.1
1,44,185.0,87.0,10.0,89.0,39.7
0,78,174.0,73.0,24.0,95.0,40.7
1,26,176.0,81.0,12.0,90.0,39.7
1,36,198.0,101.0,8.0,89.0,39.8
1,31,180.0,79.0,25.0,102.0,40.8
0,55,158.0,60.0,4.0,94.0,38.4
1,37,195.0,97.0,18.0,97.0,40.4
0,27,166.0,58.0,15.0,101.0,40.1
1,28,171.0,76.0,15.0,94.0,40.5
1,36,173.0,75.0,16.0,94.0,40.4
1,21,182.0,87.0,22.0,107.0,40.6
1,27,194.0,90.0,7.0,89.0,39.5
1,71,190.0,90.0,25.0,109.0,40.9
0,27,161.0,55.0,13.0,93.0,40.2
1,51,194.0,96.0,12.0,99.0,39.9
1,32,182.0,87.0,20.0,98.0,40.7
0,47,176.0,75.0,6.0,83.0,39.8
0,37,144.0,47.0,17.0,96.0,40.0
0,79,160.0,60.0,28.0,108.0,40.9
1,61,183.0,86.0,1.0,81.0,38.3
0,46,151.0,51.0,28.0,108.0,40.9
1,55,183.0,85.0,20.0,94.0,40.3
1,50,169.0,74.0,30.0,113.0,40.8
1,26,191.0,96.0,8.0,92.0,39.7
1,53,188.0,88.0,16.0,96.0,40.5
0,79,142.0,50.0,14.0,86.0,40.1
0,27,164.0,59.0,4.0,86.0,39.1
0,54,162.0,63.0,13.0,101.0,40.0
0,60,155.0,54.0,16.0,99.0,40.5
1,78,187.0,88.0,22.0,98.0,40.8
0,21,167.0,63.0,22.0,102.0,40.8
1,69,185.0,85.0,30.0,113.0,40.7
1,79,176.0,83.0,2.0,89.0,38.3
1,28,175.0,74.0,23.0,107.0,40.7
1,76,195.0,93.0,23.0,96.0,40.5
0,22,177.0,70.0,22.0,109.0,40.6
1,30,177.0,80.0,9.0,92.0,39.4
1,26,187.0,89.0,21.0,106.0,40.5
1,25,198.0,96.0,5.0,85.0,39.1
0,30,164.0,66.0,1.0,67.0,38.1
0,47,175.0,69.0,29.0,117.0,41.1
0,66,171.0,62.0,3.0,80.0,38.6
1,71,186.0,92.0,7.0,85.0,39.5
1,25,177.0,78.0,26.0,108.0,40.9
1,20,187.0,86.0,23.0,100.0,40.3
1,78,191.0,91.0,24.0,98.0,40.6
1,44,195.0,92.0,6.0,83.0,39.4
1,51,174.0,80.0,18.0,82.0,40.4
0,22,159.0,55.0,4.0,86.0,38.8
1,52,190.0,93.0,26.0,105.0,40.5
0,47,147.0,51.0,24.0,106.0,40.3
0,54,141.0,48.0,18.0,103.0,40.3
0,42,153.0,56.0,19.0,102.0,40.5
1,56,200.0,100.0,9.0,92.0,39.9
0,20,176.0,69.0,10.0,84.0,40.2
0,41,158.0,54.0,19.0,99.0,40.3
0,21,157.0,54.0,16.0,98.0,40.4
0,24,180.0,77.0,28.0,113.0,40.5
0,65,166.0,70.0,15.0,100.0,39.9
0,43,165.0,65.0,16.0,93.0,40.4
1,38,178.0,81.0,26.0,110.0,40.6
0,35,171.0,70.0,6.0,96.0,39.4
1,20,173.0,79.0,2.0,78.0,37.9
1,28,183.0,88.0,6.0,78.0,39.4
1,70,176.0,85.0,25.0,99.0,40.7
0,22,156.0,50.0,28.0,104.0,40.8
0,34,157.0,61.0,27.0,106.0,41.1
1,24,185.0,91.0,29.0,97.0,40.8
0,70,154.0,59.0,10.0,88.0,40.0
0,59,175.0,73.0,10.0,86.0,39.9
1,24,184.0,79.0,24.0,102.0,40.6
1,42,212.0,112.0,12.0,93.0,40.0
0,64,170.0,69.0,22.0,100.0,40.4
0,42,159.0,57.0,12.0,93.0,39.8
0,20,163.0,66.0,1.0,86.0,37.8
1,27,213.0,119.0,9.0,87.0,39.9
0,50,173.0,73.0,8.0,85.0,39.9
1,37,170.0,76.0,7.0,86.0,39.3
1,55,167.0,75.0,12.0,90.0,40.1
1,61,183.0,85.0,20.0,99.0,40.7
0,48,197.0,89.0,18.0,102.0,40.3
0,24,176.0,66.0,6.0,85.0,39.2
1,30,199.0,99.0,16.0,103.0,40.3
1,27,191.0,90.0,18.0,107.0,40.6
0,42,163.0,66.0,8.0,87.0,39.5
0,47,173.0,67.0,2.0,86.0,38.1
0,76,167.0,65.0,26.0,102.0,40.9
0,43,156.0,54.0,24.0,108.0,40.9
0,40,172.0,66.0,20.0,98.0,40.7
